"%s was added to your shopping cart.","%s fue añadido al carrito."
"%s was updated in your shopping cart.","%s fue actualizado en el carrito."
"* Required Fields","* Campos requeridos"
"Add New Address","Adicione dirección"
"Add New Condition","Adicione condición"
"Add coupon code for shopping cart","Adicione Cupón"
"Add gift messages to shopping cart","Adicione tarjeta de regalo"
"Add product to shopping cart","Adicione producto al carrito"
"Add product(s) to shopping cart","Adicione los productos al carrito"
"Add to Cart","Añadir al Carrito"
"Add to Compare","Comparar"
"Add to Wishlist","Añadir a Lista de Deseos"
"Additional Product Info","Información adicional"
"Address","Dirección"
"Address %s of %s","Dirección %s de %s"
"After Adding a Product Redirect to Shopping Cart","Después de añadir un producto regresar al carrito"
"Allow Guest Checkout","Permitir compra de usuarios no registrados"
"Already registered?","Está registrado?"
"An error occurred in the process of payment","Un error ha ocurrido en su pago"
"An error occurred while deleting this condition.","error mientras borraba la condición."
"An error occurred while saving this condition.","Error al guardar."
"Apply Coupon","Aplicar cupón"
"Are you sure you would like to remove this item from the shopping cart?","¿Desea remover este elemento del carrito?"
"Back","Regresar"
"Back to Billing Information","Regresar a información de facturación"
"Back to Select Addresses","Regresar a direcciones seleccionadas"
"Back to Shipping Information","Regresar a envíos"
"Back to Shopping Cart","Regresar a carrito"
"Based on your selection, you may be interested in the following items:","Basado en su selección, también le puede interesar:"
"Billing Address","Dirección de Facturación"
"Billing Information","Información de facturación"
"Billing Information - %s","Información de facturación - %s"
"Cancel Coupon","Cancelar cupón"
"Cannot add item to the shopping cart.","No se pudo añadir elemento al carrito."
"Cannot add the item to shopping cart","No se pudo añadir elemento al carrito."
"Cannot add the item to shopping cart.","No se pudo añadir elemento al carrito."
"Cannot apply the coupon code.","No pudo aplicar al cupón"
"Cannot configure product.","No se pudo configurar el producto"
"Cannot open the overview page","no se pudo desplegar previsualización"
"Cannot process the item.","No se pudo procesar."
"Cannot remove the item.","No se pudo remover."
"Cannot update shopping cart.","No se actualizó el carrito."
"Cannot update the item.","No se actualizó item."
"Card Verification Number Visual Reference","Certificación de tarjeta"
"Cart Product API","Cart Product API"
"Cart Subtotal:","Subtotal de Carro:"
"Change","Cambiar"
"Change Billing Address","Cambiar Dirección"
"Checkbox Text","Selección"
"Checkout","Compra"
"Checkout Conditions","Condiciones de Compra"
"Checkout Method","Método de Pago"
"Checkout Options","Opciones de Compra"
"Checkout Progress Wrapper","Progreso de Compra"
"Checkout Section","Sección de Compra"
"Checkout Terms and Conditions","Revise Términos y Condiciones"
"Checkout as Guest","Compre como invitado"
"Checkout as a Guest or Register","Compre como invitado o como registrado"
"Checkout with Multiple Addresses","Compre en varios domicilios"
"City","Ciudad"
"Clear Shopping Cart","Limpiar Carrito"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Click <a href=""%s"" onclick=""this.target=\'_blank\'"">acá para imprimir</a> su código de confirmación."
"Click <a href=""%s"">here</a> to continue shopping.","Click <a href=""%s"">aquí</a> para seguir comprando."
"Close","Cerrar"
"Company","Empresa"
"Condition Name","Nombre de condición"
"Configurable Product Image","Imágen configurable"
"Configure Cart Item","Configurar Carrito"
"Confirm Password","Confirmar Contraseña"
"Content","Contenido"
"Content Height","Altura de Contenido"
"Content Height (css)","Content Height (css)"
"Continue","Continuar"
"Continue Shopping","Continuar Comprando"
"Continue to Billing Information","Continuar a información de facturación"
"Continue to Review Your Order","Continue to Review Your Order"
"Continue to Shipping Information","Continue to Shipping Information"
"Country","País"
"Coupon code ""%s"" is not valid.","Coupon code ""%s"" is not valid."
"Coupon code ""%s"" was applied.","Coupon code ""%s"" was applied."
"Coupon code was canceled.","Coupon code was canceled."
"Create Billing Address","Create Billing Address"
